iter	Passed	Remaining
420	2259	3107
421	2262	3099
422	2266	3091
423	2271	3085
424	2275	3078
425	2278	3070
426	2282	3062
427	2287	3056
428	2291	3049
429	2294	3041
430	2298	3033
431	2303	3028
432	2307	3021
433	2310	3012
434	2313	3005
435	2319	2999
436	2323	2993
437	2327	2986
438	2332	2980
439	2338	2976
440	2342	2969
441	2345	2961
442	2351	2956
443	2356	2950
444	2360	2943
445	2364	2936
446	2370	2932
447	2374	2926
448	2378	2918
449	2383	2913
450	2388	2907
451	2392	2900
452	2401	2899
453	2405	2893
454	2409	2885
455	2415	2881
456	2419	2874
457	2422	2866
458	2425	2858
459	2436	2859
460	2439	2852
461	2443	2845
462	2449	2841
463	2453	2833
464	2456	2825
465	2459	2818
466	2465	2813
467	2468	2806
468	2472	2798
469	2475	2791
470	2481	2787
471	2484	2779
472	2488	2772
473	2491	2765
474	2496	2759
475	2499	2751
476	2502	2743
477	2506	2736
478	2511	2731
479	2514	2724
480	2518	2717
481	2521	2710
482	2528	2706
483	2531	2699
484	2534	2691
485	2538	2684
486	2543	2679
487	2547	2672
488	2550	2665
489	2553	2658
490	2559	2653
491	2562	2646
492	2566	2638
493	2569	2631
494	2574	2626
495	2579	2620
496	2582	2613
497	2585	2606
498	2591	2601
499	2595	2595
500	2599	2589
501	2603	2582
502	2608	2577
503	2612	2571
504	2616	2564
505	2622	2560
506	2626	2554
507	2631	2548
508	2637	2544
509	2641	2537
510	2644	2530
511	2647	2523
512	2653	2518
513	2657	2512
514	2660	2505
515	2663	2498
516	2669	2493
517	2673	2487
518	2676	2480
519	2680	2474
520	2685	2468
521	2688	2462
522	2692	2455
523	2695	2448
524	2700	2442
525	2704	2437
526	2708	2431
527	2712	2424
528	2717	2419
529	2720	2412
530	2724	2406
531	2727	2399
532	2733	2394
533	2738	2389
534	2742	2384
535	2748	2378
536	2751	2372
537	2755	2366
538	2759	2359
539	2763	2354
540	2767	2348
541	2770	2341
542	2773	2334
543	2777	2327
544	2782	2323
545	2786	2316
546	2789	2310
547	2792	2303
548	2797	2298
549	2801	2292
550	2804	2285
551	2807	2278
552	2814	2274
553	2820	2270
554	2825	2265
555	2830	2260
556	2833	2253
557	2837	2247
558	2840	2241
559	2847	2237
560	2850	2230
561	2855	2225
562	2861	2221
563	2867	2216
564	2871	2210
565	2878	2206
566	2882	2201
567	2887	2195
568	2895	2193
569	2899	2187
570	2903	2181
571	2907	2175
572	2912	2170
573	2915	2163
574	2918	2157
575	2924	2152
576	2929	2147
577	2932	2141
578	2936	2135
579	2942	2130
580	2946	2124
581	2949	2118
582	2955	2114
583	2959	2108
584	2963	2102
585	2966	2095
586	2971	2090
587	2975	2084
588	2978	2078
589	2981	2071
590	2985	2066
591	2990	2060
592	2993	2054
593	2996	2048
594	2999	2041
595	3005	2037
596	3009	2031
597	3012	2025
598	3015	2019
599	3021	2014
600	3024	2007
601	3027	2001
602	3031	1995
603	3037	1991
604	3040	1985
605	3044	1979
606	3048	1973
607	3052	1967
608	3055	1961
609	3058	1955
610	3062	1949
611	3067	1944
612	3070	1938
613	3073	1932
614	3077	1926
615	3082	1921
616	3086	1915
617	3089	1909
618	3093	1903
619	3101	1900
620	3105	1895
621	3108	1889
622	3113	1884
623	3118	1878
624	3122	1873
625	3130	1870
626	3135	1865
627	3139	1859
628	3146	1856
629	3152	1851
630	3156	1846
631	3164	1842
632	3168	1837
633	3173	1831
634	3181	1828
635	3185	1823
636	3189	1817
637	3195	1813
638	3199	1807
639	3202	1801
640	3206	1795
641	3212	1791
642	3215	1785
643	3218	1779
644	3225	1775
645	3230	1770
646	3234	1764
647	3238	1759
648	3244	1754
649	3248	1749
650	3258	1746
651	3263	1741
652	3267	1736
653	3272	1731
654	3277	1726
655	3280	1720
656	3285	1715
657	3292	1711
658	3295	1705
659	3299	1699
660	3304	1694
661	3309	1689
662	3314	1684
663	3318	1679
664	3324	1674
665	3329	1669
666	3332	1663
667	3339	1659
668	3344	1654
669	3348	1649
670	3356	1645
671	3360	1640
672	3364	1634
673	3372	1631
674	3377	1625
675	3380	1620
676	3386	1615
677	3390	1610
678	3393	1604
679	3397	1599
680	3403	1594
681	3407	1589
682	3411	1583
683	3416	1578
684	3420	1573
685	3424	1567
686	3429	1562
687	3437	1558
688	3441	1553
689	3446	1548
690	3450	1543
691	3454	1537
692	3457	1531
693	3462	1526
694	3467	1521
695	3471	1516
696	3474	1510
697	3480	1505
698	3484	1500
699	3487	1494
700	3491	1489
701	3497	1484
702	3501	1479
703	3506	1474
704	3512	1469
705	3517	1464
706	3520	1459
707	3523	1453
708	3528	1448
709	3532	1442
710	3535	1437
711	3539	1431
712	3545	1427
713	3549	1421
714	3553	1416
715	3560	1412
716	3565	1407
717	3570	1402
718	3576	1397
719	3581	1392
720	3585	1387
721	3590	1382
722	3594	1377
723	3598	1371
724	3601	1366
725	3607	1361
726	3610	1355
727	3614	1350
728	3617	1344
729	3623	1340
730	3626	1334
731	3630	1329
732	3634	1323
733	3643	1320
734	3647	1315
735	3653	1310
736	3657	1305
737	3660	1299
738	3663	1294
739	3668	1288
740	3672	1283
741	3676	1278
742	3679	1272
743	3683	1267
744	3687	1262
745	3691	1256
746	3694	1251
747	3697	1245
748	3702	1240
749	3706	1235
750	3709	1229
751	3713	1224
752	3719	1219
753	3722	1214
754	3725	1209
755	3729	1203
756	3734	1198
757	3737	1193
758	3741	1187
759	3744	1182
760	3751	1178
761	3756	1173
762	3760	1168
763	3766	1163
764	3769	1157
765	3772	1152
766	3776	1147
767	3781	1142
768	3786	1137
769	3790	1132
770	3796	1127
771	3800	1122
772	3803	1116
773	3806	1111
774	3812	1106
775	3817	1101
776	3821	1096
777	3825	1091
778	3831	1086
779	3835	1081
780	3839	1076
781	3846	1072
782	3850	1067
783	3855	1062
784	3862	1057
785	3866	1052
786	3869	1047
787	3873	1042
788	3878	1037
789	3882	1032
790	3886	1026
791	3892	1022
792	3896	1017
793	3899	1011
794	3903	1006
795	3911	1002
796	3914	997
797	3919	992
798	3925	987
799	3930	982
800	3934	977
801	3941	973
802	3945	967
803	3951	963
804	3958	958
805	3962	953
806	3966	948
807	3972	943
808	3976	938
809	3979	933
810	3984	928
811	3988	923
812	3992	918
813	3996	913
814	4003	908
815	4007	903
816	4010	898
817	4014	893
818	4019	888
819	4024	883
820	4028	878
821	4033	873
822	4042	869
823	4045	864
824	4051	859
825	4054	854
826	4057	848
827	4060	843
828	4065	838
829	4069	833
830	4072	828
831	4076	823
832	4080	818
833	4084	813
834	4088	807
835	4091	802
836	4094	797
837	4099	792
838	4103	787
839	4107	782
840	4111	777
841	4115	772
842	4119	767
843	4122	762
844	4128	757
845	4132	752
846	4136	747
847	4139	742
848	4145	737
849	4149	732
850	4154	727
851	4157	722
852	4163	717
853	4166	712
854	4169	707
855	4173	702
856	4179	697
857	4183	692
858	4186	687
859	4189	682
860	4194	677
861	4198	672
862	4201	666
863	4204	661
864	4211	657
865	4216	652
866	4220	647
867	4226	642
868	4229	637
869	4233	632
870	4236	627
871	4243	622
872	4249	618
873	4253	613
874	4259	608
875	4262	603
876	4266	598
877	4272	593
878	4276	588
879	4280	583
880	4283	578
881	4289	573
882	4293	568
883	4296	563
884	4299	558
885	4305	553
886	4309	549
887	4312	543
888	4315	538
889	4322	534
890	4326	529
891	4330	524
892	4337	519
893	4341	514
894	4345	509
895	4350	504
896	4355	500
897	4359	495
898	4364	490
899	4370	485
900	4373	480
901	4377	475
902	4381	470
903	4386	465
904	4389	460
905	4392	455
906	4395	450
907	4401	445
908	4405	441
909	4408	436
910	4411	431
911	4417	426
912	4420	421
913	4424	416
914	4430	411
915	4436	406
916	4442	402
917	4450	397
918	4455	392
919	4459	387
920	4466	383
921	4470	378
922	4474	373
923	4481	368
924	4485	363
925	4489	358
926	4494	353
927	4498	349
928	4502	344
929	4508	339
930	4514	334
931	4517	329
932	4521	324
933	4528	319
934	4533	315
935	4538	310
936	4548	305
937	4554	301
938	4561	296
939	4566	291
940	4569	286
941	4577	281
942	4581	276
943	4585	272
944	4591	267
945	4596	262
946	4599	257
947	4603	252
948	4608	247
949	4612	242
950	4615	237
951	4618	232
952	4624	228
953	4628	223
954	4632	218
955	4635	213
956	4643	208
957	4648	203
958	4654	198
959	4658	194
960	4662	189
961	4665	184
962	4670	179
963	4675	174
964	4680	169
965	4683	164
966	4689	160
967	4692	155
968	4695	150
969	4700	145
970	4706	140
971	4709	135
972	4715	130
973	4722	126
974	4726	121
975	4732	116
976	4738	111
977	4742	106
978	4746	101
979	4755	97
980	4760	92
981	4772	87
982	4776	82
983	4787	77
984	4791	72
985	4800	68
986	4806	63
987	4817	58
988	4821	53
989	4826	48
990	4834	43
991	4838	39
992	4842	34
993	4849	29
994	4853	24
995	4858	19
996	4865	14
997	4877	9
998	4882	4
999	4887	0
